affabuler;1;3;affabul;;i;t;;;;
affadir;2;6;affad;;t;p;;;;
affaiblir;2;6;affaibl;;t;p;;;;
affairer;1;3;affair;;xp;;;;;
affaisser;1;3;affaiss;;t;;;;;
affaler;1;3;affal;;t;p;;;;
affamer;1;3;affam;;t;;;;;
afféager;1;3;afféag;;t;;;;;
affecter;1;3;affect;;t;p;;;;
affectionner;1;3;affectionn;;t;;;;;
afférer;1;3;aff;r;i;;;;;
affermer;1;3;afferm;;t;;;;;
affermir;2;6;afferm;;t;p;;;;
afficher;1;3;affich;;t;p;;;;
affiler;1;8;affil;;t;;;;;
affilier;1;8;affili;;t;p;;;;
affiner;1;3;affiner;;t;p;;;;
affirmer;1;3;affirmer;;t;p;;;;
affleurer;1;3;affleur;;t;ti;;;;
affliger;1;13;afflig;;t;p;;;;
afflouer;1;7;afflou;;t;;;;;
affluer;1;7;afflu;;i;;;;;
affoler;1;3;affol;;t;;;;;
affouager;1;13;affouag;;t;;;;;
affouiller;1;9;affouiller;;t;;;;;
affourcher;1;3;affourach;;t;;;;;
affourrager;1;13;affourag;;t;;;;;affourager
affourager;1;13;affourag;;t;;;;;affourrager
affranchir;2;6;affranchi;;t;p;;;;
affréter;1;14;affr;t;t;;;;;
affriander;1;3;affriand;;t;;;;;
affricher;1;3;affrich;;t;;;;;
affrioler;1;3;affriol;;t;;;;;
affriter;1;3;affrit;;t;;;;;
affronter;1;3;affront;;t;p;;;;
affruiter;1;3;affruit;;i;t;;;;
affubler;1;3;affubl;;t;p;;;;
affurer;1;3;affur;;t;;;;;
affûter;1;3;affût;;t;;;;;
africaniser;1;3;africanis;;t;;;;;
agacer;1;12;aga;;t;p;;;;
agencer;1;12;agen;;t;p;;;;
agenouiller;1;9;agenouill;;xp;;;;;
agglomérer;1;14;agglom;;t;p;;;;
agglutiner;1;3;agglutin;;t;p;;;;
aggraver;1;3;aggrav;;t;p;;;;
agioter;1;3;agiot;;i;;;;;
agir;1;6;ag;;i;imp;;;;
agir;1;6;ag;;p;imp;;;;
agiter;1;3;agit;;t;p;;;;
agneler;1;21;agnel;;i;;;;;
agonir;2;3;agon;;t;;;;;
agoniser;1;3;agonis;;i;;;;;
agrafer;1;3;agraf;;t;;;;;
agrandir;2;6;agrand;;t;p;;;;
agréer;1;10;agré;;t;ti;;;;
agréger;1;18;agr;;t;p;;;;
agrémenter;1;3;agrément;;t;;;;;
agresser;1;3;agress;;t;;;;;
agricher;1;3;agrich;;t;;;;;
agriffer;1;3;agriff;;xp;;;;;
agripper;1;3;agripp;;t;p;;;;
aguerrir;1;6;aguerr;;t;p;;;;
aguicher;1;3;aguich;;t;p;;;;
ahaner;1;3;ahan;;i;;;;;
aheurter;1;3;aheurt;;xp;;;;;
